0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1.0,41.7755898829,1.0,92.397806580299999,3.3218553777599999,1192.0,3.2041501373200001,50.969085375600002,2.5987311657399998,49.445925094700002,681.0,11.03515625,12.4002991027,0.0,4937.0,930.86220238700002,2.0,2.0,13.031221368700001,0.0,1045.0,100.0,16.244683005900001,26.208873379900002,586.0
4.0,72.203716689999993,3.0,92.160499853600001,2.1704605611400001,1529.0,1.7750447032100001,29.451383786400001,2.39843096234,27.857582024500001,1771.0,22.0711648204,14.722249340999999,3.0,5667.0,1047.21795129,1.0,2.0,11.8543417367,0.0,978.0,100.0,11.169931180500001,15.649711998400001,480.0
5.0,72.329392242300003,3.0,89.309664694299997,2.7567807914600002,375.0,1.7801608579099999,29.7760210804,2.1696137738500001,23.726962457300001,662.0,19.910665944800002,18.461538461500002,4.0,2249.0,1021.64356169,1.0,2.0,10.452015745900001,0.0,254.0,100.0,11.5162294353,13.4714003945,193.0
1.0,63.562152133600001,2.0,91.992123400099999,2.7877055039299998,474.0,1.6141254925699999,44.317673378099997,2.49546142209,29.842399593300001,1408.0,15.4159040065,20.955037741999998,6.0,2798.0,938.99883044000001,7.0,4.0,9.4994892747699993,0.0,430.0,98.466071037800006,13.4024303074,17.197243189999998,475.0
3.0,65.493295019200005,2.0,92.672190574799998,1.77619893428,635.0,2.6214610276100001,30.0534423137,2.3367819221300001,27.218934911200002,626.0,18.961424332299998,11.1859140342,4.0,2252.0,1073.1296295499999,7.0,3.0,11.656989727599999,0.0,448.0,100.0,9.05861456483,14.914552045600001,146.0
1.0,71.855921855899993,3.0,85.802124091699994,3.43698854337,114.0,2.04297287777,15.7267672756,1.9687933425799999,17.227979274599999,195.0,20.588235294099999,15.2040245947,4.0,611.0,1097.6200771599999,5.0,2.0,10.592304366600001,0.0,84.0,100.0,6.2193126022899996,10.1732811627,46.0
6.0,80.428249436499996,5.0,87.188612099599993,1.69286577993,139.0,0.56597671410100003,26.368876080700002,3.7524271844700001,11.464139725000001,2655.0,36.603139013499998,18.251143873899998,3.0,827.0,1052.9775697299999,4.0,2.0,7.5961179544600004,0.0,140.0,96.945815476700005,9.4316807738800001,6.2531774275499998,52.0
0.0,35.886478194200002,1.0,92.996930161199998,3.26069916915,1556.0,3.7700602870000002,38.341304094199998,2.3506986027900001,50.5523641184,718.0,18.7670634487,6.8687643898699999,1.0,6379.0,1017.81955443,2.0,2.0,12.1830754034,0.0,1265.0,99.999994344399994,15.598056121600001,18.620491174200001,572.0
1.0,68.376157286999998,3.0,92.024316109400004,1.8818818818800001,1711.0,2.1307313187600001,27.675276752799999,2.6202713279399998,24.207174421600001,2103.0,23.149831212700001,9.6656534954400009,4.0,4995.0,1090.6250335300001,7.0,2.0,12.281274484200001,0.0,1310.0,100.0,9.1691691691700008,12.121580547100001,326.0
7.0,59.679266895799998,3.0,95.888399412599995,0.84317032040499995,238.0,0.0,17.1681415929,3.1441048034899999,29.442622950800001,95.0,14.6517739816,0.0,0.0,593.0,1115.0874536599999,4.0,2.0,11.3799869196,0.0,187.0,100.0,3.7099494097800001,4.8458149779699999,23.0
